,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"395,957","433,521","374,372","272,583","303,954","390,823","568,337","596,679","466,307","694,673","876,396","899,041","925,289"
Expenses +,"362,802","398,586","336,923","230,802","257,647","326,508","484,087","507,413","385,517","586,092","734,078","736,543","762,384"
Operating Profit,"33,155","34,935","37,449","41,781","46,307","64,315","84,250","89,266","80,790","108,581","142,318","162,498","162,905"
OPM %,8%,8%,10%,15%,15%,16%,15%,15%,17%,16%,16%,18%,18%
Other Income +,"7,757","8,865","8,528","12,212","9,222","9,869","8,406","8,570","22,432","19,600","12,020","16,179","16,438"
Interest,"3,463","3,836","3,316","3,691","3,849","8,052","16,495","22,027","21,189","14,584","19,571","23,118","23,199"
Depreciation,"11,232","11,201","11,547","11,565","11,646","16,706","20,934","22,203","26,572","29,782","40,303","50,832","52,653"
Profit before tax,"26,217","28,763","31,114","38,737","40,034","49,426","55,227","53,606","55,461","83,815","94,464","104,727","103,491"
Tax %,20%,22%,24%,23%,25%,27%,28%,26%,3%,19%,22%,25%,
Net Profit +,"20,886","22,548","23,640","29,861","29,833","36,080","39,837","39,880","53,739","67,845","74,088","79,020","78,207"
EPS in Rs,30.31,32.62,34.14,43.03,43.11,53.39,58.55,58.20,77.50,89.74,98.59,102.90,101.61
Dividend Payout %,13%,12%,12%,10%,11%,10%,10%,10%,9%,9%,9%,10%,
