,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"46,375","54,947","64,465","34,008","36,533","35,924","40,379","43,403","39,537","69,420","127,540","96,421","102,220"
Expenses +,"40,354","45,564","52,015","32,325","34,631","33,886","38,409","41,108","37,031","65,707","118,722","85,044","89,663"
Operating Profit,"6,021","9,383","12,450","1,684","1,902","2,038","1,969","2,294","2,506","3,714","8,818","11,377","12,557"
OPM %,13%,17%,19%,5%,5%,6%,5%,5%,6%,5%,7%,12%,12%
Other Income +,"1,775","1,157",792,"1,044",749,363,504,872,494,"1,012",834,"1,146","1,367"
Interest,"3,492","5,703","7,056","1,357","1,257","1,250","1,625","1,572","1,377","2,526","3,969","4,555","4,583"
Depreciation,"2,298","3,223","3,522",314,315,664,390,472,537,"1,248","2,436","3,042","3,262"
Profit before tax,"2,005","1,614","2,663","1,056","1,079",487,459,"1,122","1,086",952,"3,247","4,926","6,079"
Tax %,39%,-64%,14%,7%,25%,23%,32%,29%,31%,50%,32%,33%,
Net Profit +,"1,218","2,646","2,298","1,000",925,594,506,"1,040","1,046",788,"2,422","3,335","4,431"
EPS in Rs,14.67,20.19,17.71,9.19,8.98,6.89,6.52,10.35,8.39,7.06,21.61,28.42,35.28
Dividend Payout %,10%,7%,8%,4%,4%,6%,6%,10%,12%,14%,6%,5%,
